geoid,name,B09001001,"B09001001, Error",B09001002,"B09001002, Error",B09001003,"B09001003, Error",B09001004,"B09001004, Error",B09001005,"B09001005, Error",B09001006,"B09001006, Error",B09001007,"B09001007, Error",B09001008,"B09001008, Error",B09001009,"B09001009, Error",B09001010,"B09001010, Error"
16000US3651000,"New York, NY",1791636,292,1779472,1601,328726,2442,223607,2545,100622,2233,288198,3281,278544,3330,275685,3321,284090,635,12164,1571
86000US07002,07002,14379,654,14322,684,2726,441,1520,237,623,166,2313,337,2090,307,2472,361,2578,321,57,89
86000US07008,07008,5540,452,5540,452,767,232,499,211,360,152,647,187,1043,284,1105,219,1119,266,0,22
86000US07020,07020,2504,365,2503,366,561,198,276,102,320,163,457,217,488,248,247,121,154,111,1,3
86000US07024,07024,5975,368,5975,368,945,198,873,181,385,136,924,180,994,188,823,171,1031,199,0,25
86000US07036,07036,8750,558,8710,546,1603,310,940,193,456,155,1375,243,1382,222,1261,183,1693,252,40,65
86000US07064,07064,1009,323,1009,323,197,131,121,80,104,67,111,75,156,86,106,62,214,96,0,12
86000US07077,07077,371,133,371,133,27,26,10,17,11,18,60,31,151,96,64,42,48,30,0,12
86000US07202,07202,10267,711,10262,711,1934,366,987,184,626,188,1714,311,1968,283,1515,273,1518,271,5,8
86000US07206,07206,9514,706,9485,685,1837,324,1260,256,568,147,1639,247,1312,232,1580,277,1289,208,29,57
86000US07305,07305,15411,867,15392,866,2928,325,1880,359,798,223,2391,348,2529,360,2539,351,2327,290,19,10
86000US07620,07620,245,70,245,70,17,13,42,17,10,8,36,22,49,28,42,20,49,26,0,12
86000US07632,07632,1296,123,1296,123,145,84,204,113,27,21,230,79,218,98,241,112,231,69,0,17
86000US07670,07670,4645,302,4645,302,384,155,429,162,343,195,696,197,1053,185,993,207,747,213,0,19
86000US08861,08861,14691,639,14691,639,2597,345,1917,253,645,171,2567,318,2320,279,2355,262,2290,254,0,28
86000US10001,10001,2924,1785,2835,1784,377,142,185,94,542,518,510,297,381,273,556,520,284,246,89,99
86000US10002,10002,12215,1120,12113,1128,1693,403,1350,348,907,281,1499,318,2058,438,2291,452,2315,418,102,120
86000US10003,10003,3863,500,3485,498,1034,237,495,153,238,105,516,154,518,194,365,125,319,151,378,115
86000US10004,10004,605,264,605,264,81,39,45,44,4,8,65,51,114,76,79,69,217,161,0,11
86000US10005,10005,722,273,722,273,193,126,106,86,83,72,96,75,131,122,80,68,33,46,0,16
86000US10006,10006,363,136,363,136,194,114,73,46,18,30,29,39,25,36,0,11,24,28,0,11
86000US10007,10007,1282,241,1282,241,261,136,81,55,88,55,345,119,170,76,109,58,228,150,0,16
86000US10009,10009,6479,724,6476,724,786,277,703,250,351,163,1018,317,976,317,1096,309,1546,365,3,5
86000US10010,10010,2351,418,2269,419,615,217,398,180,78,46,420,210,391,184,295,137,72,56,82,98
86000US10011,10011,5518,838,5462,835,1343,391,623,235,407,221,958,323,704,222,766,329,661,236,56,78
86000US10012,10012,2041,475,2041,475,520,172,251,122,108,82,151,77,360,182,446,211,205,96,0,21
86000US10013,10013,4300,594,4300,594,1204,315,508,189,225,96,757,221,487,199,540,178,579,198,0,21
86000US10014,10014,2412,306,2384,300,536,144,318,118,81,59,506,140,463,130,281,110,199,98,28,33
86000US10016,10016,4456,665,4407,664,1511,418,609,222,114,93,705,193,537,197,557,362,374,262,49,35
86000US10017,10017,1004,218,1004,218,550,180,73,83,45,59,156,107,80,70,66,60,34,28,0,18
86000US10018,10018,695,204,695,204,202,99,163,95,21,23,51,52,87,54,70,55,101,63,0,16
86000US10019,10019,2858,531,2820,525,723,195,461,180,131,125,479,247,367,181,413,161,246,128,38,45
86000US10020,10020,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10021,10021,7025,1187,7018,1186,1769,483,1027,365,509,264,1609,596,977,318,704,265,423,214,7,11
86000US10022,10022,2678,505,2667,505,843,298,795,315,112,77,346,178,183,87,204,135,184,97,11,15
86000US10023,10023,8477,791,8470,790,2851,469,1241,321,592,221,1120,302,1267,302,787,291,612,239,7,13
86000US10024,10024,9632,1057,9582,1054,1960,527,1306,370,459,182,1350,382,1767,434,1421,361,1319,323,50,61
86000US10025,10025,13957,1257,13760,1244,3089,616,1814,438,484,203,1989,366,2164,357,2389,578,1831,417,197,165
86000US10026,10026,7925,907,7918,906,1483,345,1478,322,408,167,1203,278,1089,284,1137,301,1120,276,7,14
86000US10027,10027,12353,1040,12203,1035,2228,486,1494,357,646,232,1765,312,2025,358,1934,340,2111,332,150,77
86000US10028,10028,6867,731,6859,733,1472,334,861,215,338,216,1230,289,1135,283,929,293,894,231,8,17
86000US10029,10029,16309,1091,16100,1065,2266,406,1742,392,868,247,2536,351,2597,377,3072,430,3019,447,209,201
86000US10030,10030,5597,741,5573,745,1176,336,740,204,431,161,790,260,724,191,859,214,853,247,24,30
86000US10031,10031,9920,1011,9887,1009,1804,496,1134,343,560,177,1421,323,1587,356,1375,328,2006,411,33,26
86000US10032,10032,10660,997,10639,991,2341,480,1196,349,323,189,1823,328,1752,357,1550,277,1654,317,21,40
86000US10033,10033,10382,828,10376,826,2286,376,1483,326,589,235,1442,295,1658,283,1209,245,1709,368,6,13
86000US10034,10034,8631,812,8631,812,1821,443,1115,292,429,191,1065,244,1494,286,1348,276,1359,311,0,24
86000US10035,10035,6735,805,6723,803,1192,280,1009,223,296,118,1073,256,1035,216,950,215,1168,235,12,17
86000US10036,10036,1451,271,1443,271,449,209,179,92,68,68,202,149,94,53,90,52,361,205,8,16
86000US10037,10037,4179,622,4149,622,544,197,702,285,259,145,648,194,723,252,685,205,588,195,30,34
86000US10038,10038,2447,583,2401,578,508,201,321,182,114,109,383,182,328,146,377,140,370,146,46,41
86000US10039,10039,6610,675,6606,675,982,288,1057,328,215,118,1118,281,974,295,1261,347,999,211,4,10
86000US10040,10040,7218,804,7206,805,1251,336,928,300,350,133,1040,235,1075,255,1142,248,1420,304,12,19
86000US10044,10044,1374,215,1374,215,394,138,255,128,69,67,40,28,116,79,208,122,292,128,0,18
86000US10065,10065,4020,650,4020,650,1194,295,622,232,398,202,535,173,419,152,530,235,322,142,0,24
86000US10069,10069,1006,398,1006,398,391,234,137,136,52,59,279,181,89,89,27,44,31,49,0,16
86000US10075,10075,3201,868,3201,868,903,462,213,144,299,187,294,165,637,353,470,207,385,218,0,21
86000US10103,10103,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10110,10110,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10111,10111,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10112,10112,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10115,10115,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10119,10119,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10128,10128,9645,1008,9645,1008,2199,538,1195,302,587,311,1727,342,1316,325,1404,336,1217,283,0,27
86000US10152,10152,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10153,10153,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10154,10154,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10162,10162,343,259,343,259,114,106,115,129,0,11,42,69,72,120,0,11,0,11,0,11
86000US10165,10165,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10167,10167,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10168,10168,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10169,10169,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10170,10170,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10171,10171,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10172,10172,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10173,10173,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10174,10174,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10177,10177,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10199,10199,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10271,10271,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10278,10278,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10279,10279,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10280,10280,1820,478,1820,478,637,259,177,88,97,148,338,216,109,79,337,207,125,95,0,16
86000US10282,10282,1775,465,1775,465,589,210,564,290,136,111,249,134,128,66,42,54,67,83,0,16
86000US10301,10301,9349,858,9339,859,1616,284,1239,257,600,166,1449,217,1513,339,1494,260,1428,253,10,9
86000US10302,10302,4772,557,4760,558,785,188,613,144,373,118,819,220,750,175,635,178,785,201,12,11
86000US10303,10303,6419,622,6399,622,912,207,812,251,261,106,1053,217,1001,200,1061,202,1299,263,20,12
86000US10304,10304,10754,936,10723,938,1496,391,1293,321,561,198,2147,422,2055,362,1354,273,1817,347,31,20
86000US10305,10305,8946,620,8918,619,1632,296,1019,240,369,128,1604,325,1702,279,1304,260,1288,227,28,31
86000US10306,10306,11135,845,11135,845,1834,331,958,207,551,152,1695,320,2083,302,1811,294,2203,334,0,27
86000US10307,10307,3769,532,3769,532,409,153,393,140,315,170,550,162,699,180,761,197,642,216,0,18
86000US10308,10308,5475,560,5475,560,837,229,554,196,424,179,844,197,888,196,973,234,955,202,0,21
86000US10309,10309,8013,699,8013,699,911,269,789,193,563,222,1623,302,1337,275,1347,315,1443,289,0,24
86000US10310,10310,6394,612,6383,613,969,179,770,166,334,99,1001,181,1003,180,1235,220,1071,222,11,15
86000US10311,10311,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US10312,10312,13230,734,13230,734,1952,345,1221,259,648,160,2119,327,2135,255,2428,296,2727,244,0,27
86000US10314,10314,18107,839,18070,837,3027,376,1799,316,1012,233,2524,419,3040,404,3485,431,3183,352,37,23
86000US10451,10451,12943,1306,12885,1298,2278,418,1654,347,508,184,2187,345,2076,378,2018,353,2164,414,58,37
86000US10452,10452,22795,1101,22587,1104,3795,514,2637,360,1048,251,4062,529,3997,400,3480,420,3568,430,208,157
86000US10453,10453,22545,1227,22189,1211,3757,441,2695,454,1316,261,3570,435,3984,476,3156,429,3711,417,356,194
86000US10454,10454,12269,913,12018,853,1690,300,1507,258,702,196,2031,273,2053,307,2054,329,1981,289,251,268
86000US10455,10455,12290,1011,11878,990,2006,351,1636,295,658,183,2242,272,1818,316,1822,298,1696,269,412,181
86000US10456,10456,27503,1689,27207,1661,4273,467,3336,438,1484,287,4186,561,4345,536,4713,529,4870,535,296,155
86000US10457,10457,22636,1205,21603,1145,4039,478,2547,348,1285,232,3296,326,3268,356,3264,374,3904,407,1033,253
86000US10458,10458,21237,1252,21085,1261,4087,611,2551,426,905,203,3428,446,3179,404,3493,405,3442,417,152,94
86000US10459,10459,14186,793,14135,791,2203,296,1939,297,698,152,2149,330,2121,319,2498,307,2527,262,51,53
86000US10460,10460,16662,1103,16075,1097,2451,368,1810,314,928,200,2527,369,2467,406,2814,354,3078,480,587,124
86000US10461,10461,10949,737,10891,746,2304,428,1020,249,622,202,1477,265,1967,352,1728,265,1773,276,58,54
86000US10462,10462,18309,981,18297,981,3149,388,2257,361,1211,230,3057,323,3150,436,2859,378,2614,320,12,16
86000US10463,10463,15830,1118,15808,1120,3337,502,1948,324,996,237,2776,410,2288,399,2298,344,2165,362,22,12
86000US10464,10464,907,232,906,232,119,81,36,44,77,73,70,60,213,127,301,172,90,66,1,2
86000US10465,10465,9453,870,9437,871,1290,293,1307,298,567,217,1548,357,1479,236,1743,348,1503,287,16,19
86000US10466,10466,17483,1004,17417,1004,2761,385,2191,352,672,169,2745,429,2908,327,3102,331,3038,385,66,38
86000US10467,10467,26336,1238,26279,1238,5261,563,3320,399,1507,266,4452,403,3971,415,3963,408,3805,376,57,23
86000US10468,10468,18952,858,18729,862,3539,464,2301,362,1083,211,3054,380,3075,403,2787,354,2890,447,223,120
86000US10469,10469,16070,847,15921,844,2185,312,1565,271,823,195,2463,348,2584,307,2950,373,3351,417,149,81
86000US10470,10470,2990,389,2975,388,703,204,344,121,164,81,426,129,486,110,490,159,362,121,15,10
86000US10471,10471,3899,481,3862,476,538,187,646,196,149,79,676,179,599,182,696,180,558,156,37,25
86000US10472,10472,18951,1226,18728,1212,3207,455,2619,355,881,197,2983,390,3324,386,2672,354,3042,409,223,118
86000US10473,10473,13721,1002,13714,1003,1772,332,1634,287,604,163,2302,387,2248,332,2576,418,2578,372,7,8
86000US10474,10474,3666,400,3430,373,361,99,430,147,178,72,623,145,580,168,638,155,620,154,236,119
86000US10475,10475,6967,1132,6905,1131,977,424,788,377,425,200,1443,530,771,335,1420,474,1081,381,62,61
86000US10550,10550,9638,682,9628,682,1874,279,1321,269,537,153,1476,225,1464,234,1450,239,1506,256,10,8
86000US10704,10704,5971,399,5970,398,1362,303,742,186,341,168,1007,226,970,220,795,231,753,191,1,3
86000US10705,10705,10203,868,10139,872,2062,332,1001,231,470,170,2007,360,1482,296,1495,319,1622,342,64,48
86000US10803,10803,3480,204,3476,205,396,149,299,76,199,90,552,130,630,140,680,119,720,158,4,8
86000US11001,11001,5856,362,5856,362,796,154,682,132,401,110,929,168,1150,154,947,146,951,174,0,21
86000US11003,11003,9525,688,9524,688,1304,358,656,217,496,163,1584,235,1670,260,1639,262,2175,395,1,2
86000US11004,11004,2225,521,2087,499,415,248,221,101,174,113,312,151,312,142,308,86,345,103,138,140
86000US11005,11005,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US11020,11020,1400,240,1400,240,91,45,66,36,122,53,221,92,283,84,250,96,367,116,0,16
86000US11021,11021,3635,298,3635,298,498,141,556,124,191,69,636,162,575,119,524,131,655,120,0,18
86000US11040,11040,8479,447,8479,447,1177,246,872,219,401,122,1506,254,1569,244,1491,210,1463,210,0,24
86000US11042,11042,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US11096,11096,2301,407,2301,407,425,137,356,174,231,91,411,170,153,84,291,114,434,106,0,16
86000US11101,11101,4031,628,4027,629,764,162,428,162,218,105,643,228,651,163,759,223,564,171,4,5
86000US11102,11102,5542,727,5541,727,946,202,587,156,235,84,880,199,942,233,839,189,1112,268,1,6
