Borough,Station,2009,2010,2011,2012,2013,2014,∆,∆%,2014 Rank
The Bronx,138 St-Grand Concourse,887662,898509,917911,939284,957984,1033559,75575,7.90%,360
The Bronx,149 St-Grand Concourse,3660150,3979328,4169699,4104847,4427399,4536888,109489,2.50%,108
The Bronx,161 St-Yankee Stadium,8410256,8434247,8605893,8831015,8766012,8961029,195017,2.20%,38
The Bronx,167 St,2892398,2931947,2978748,3039634,3081534,3067345,-14189,-0.50%,165
The Bronx,167 St,2874428,2907900,2952368,2972535,3091289,3245977,154688,5%,156
The Bronx,170 St,2831174,2950997,2954573,2980786,2961575,2941958,-19617,-0.70%,173
The Bronx,170 St,2014364,1940700,1988409,2032837,2174082,2297459,123377,5.70%,217
The Bronx,174 St,2127174,2239254,2161875,2152009,2301756,2374812,73056,3.20%,209
The Bronx,174-175 Sts,1475159,1451367,1492092,1496869,1598189,1719504,121315,7.60%,275
The Bronx,176 St,1378480,1445219,1720629,1764100,1837995,1848854,10859,0.60%,254
The Bronx,182-183 Sts,1506398,1495831,1489026,1447028,1520856,1604218,83362,5.50%,289
The Bronx,183 St,1913656,1945021,1978737,1997038,2002633,2007140,4507,0.20%,242
The Bronx,219 St,957529,1024424,1032343,1063058,1099491,1124522,25031,2.30%,349
The Bronx,225 St,1191808,1283398,1336790,1382626,1400377,1445591,45214,3.20%,313
The Bronx,231 St,2669185,2660882,2731068,2829503,2757855,2912283,154428,5.60%,175
The Bronx,233 St,1508683,1614436,1655372,1674406,1719181,1803693,84512,4.90%,261
The Bronx,238 St,1094292,1067352,902601,1106353,1092492,1209623,117131,10.70%,337
The Bronx,3 Av-138 St,2222695,2190627,2280268,2304717,2443326,2534036,90710,3.70%,192
The Bronx,3 Av-149 St,7411343,7239167,7232070,7525904,7310115,7763151,453036,6.20%,54
The Bronx,Allerton Av,1661132,1668896,1602390,1689145,1747352,1829712,82360,4.70%,256
The Bronx,Baychester Av,1045547,1087618,1106959,1161075,1234050,1186372,-47678,-3.90%,339
The Bronx,Bedford Park Blvd,1932709,1885231,1914096,1929623,2040887,2136860,95973,4.70%,229
The Bronx,Bedford Park Blvd-Lehman College,1735029,1786305,1835965,1796392,1853706,1827260,-26446,-1.40%,258
The Bronx,Bronx Park East,865492,888162,826356,860554,914831,933109,18278,2%,370
The Bronx,Brook Av,1800008,1902909,1950893,1901192,1970010,2002825,32815,1.70%,243
The Bronx,Buhre Av,883232,895193,991171,1008640,1111659,637600,-474059,-42.60%,395
The Bronx,Burke Av,1047238,1060008,1036169,1086792,1133298,1158787,25489,2.20%,343
The Bronx,Burnside Av,3408080,3533604,3528312,3508076,3560191,3558297,-1894,-0.10%,143
The Bronx,Castle Hill Av,2036025,2345255,2341370,2327404,1756879,1491030,-265849,-15.10%,304
The Bronx,Cypress Av,1082788,1158742,1142381,1097947,1186696,1226878,40182,3.40%,333
The Bronx,East 143 St-St Mary's St,239458,256277,280840,285464,273895,279012,5117,1.90%,414
The Bronx,East 149 St,1335234,1351873,1383455,1403118,1457795,1460311,2516,0.20%,311
The Bronx,East 180 St,2049824,1852836,2164608,2098429,2152570,2445421,292851,13.60%,200
